model	metabolite
lane122s000523_bin.1.p	o2
lane122s000523_bin.1.p	raffin
lane122s000523_bin.1.p	tre
lane122s000523_bin.1.p	xylan4
lane122s000523_bin.1.p	xylan8
lane122s000523_bin.1.p	zn2
lane122s000524_shovill	23cgmp
lane122s000524_shovill	25dkglcn
lane122s000524_shovill	arg__L
lane122s000524_shovill	ca2
lane122s000524_shovill	cl
lane122s000524_shovill	cobalt2
lane122s000524_shovill	cyan
lane122s000524_shovill	fru
lane122s000524_shovill	fum
lane122s000524_shovill	gam
lane122s000524_shovill	gly
lane122s000524_shovill	h
lane122s000524_shovill	ham
lane122s000524_shovill	k
lane122s000524_shovill	mg2
lane122s000524_shovill	mn2
lane122s000524_shovill	nh4
lane122s000524_shovill	no2
lane122s000524_shovill	no3
lane122s000524_shovill	no
lane122s000524_shovill	o2
lane122s000524_shovill	s
lane122s000524_shovill	tsul
lane122s000524_shovill	udcpdp
lane122s000524_shovill	zn2
lane122s000525_bin.1.p	arbt
lane122s000525_bin.1.p	arg__L
lane122s000525_bin.1.p	asn__L
lane122s000525_bin.1.p	ca2
lane122s000525_bin.1.p	cellb
lane122s000525_bin.1.p	cl
lane122s000525_bin.1.p	cobalt2
lane122s000525_bin.1.p	gam
lane122s000525_bin.1.p	glc__D
lane122s000525_bin.1.p	gln__L
lane122s000525_bin.1.p	glucan4
lane122s000525_bin.1.p	glucan6
lane122s000525_bin.1.p	ile__L
lane122s000525_bin.1.p	k
lane122s000525_bin.1.p	lmn2
