model	metabolite
lane122s000603_bin.1.o	k
lane122s000603_bin.1.o	mg2
lane122s000603_bin.1.o	mn2
lane122s000603_bin.1.o	o2
lane122s000603_bin.1.o	phe__L
lane122s000603_bin.1.o	ribflv
lane122s000603_bin.1.o	thm
lane122s000603_bin.1.o	val__L
lane122s000603_bin.1.o	zn2
lane122s000603_bin.2.s	arg__L
lane122s000603_bin.2.s	ca2
lane122s000603_bin.2.s	cl
lane122s000603_bin.2.s	cobalt2
lane122s000603_bin.2.s	cu2
lane122s000603_bin.2.s	ile__L
lane122s000603_bin.2.s	k
lane122s000603_bin.2.s	lys__L
lane122s000603_bin.2.s	mg2
lane122s000603_bin.2.s	mn2
lane122s000603_bin.2.s	tyr__L
lane122s000603_bin.2.s	val__L
lane122s000603_bin.2.s	zn2
lane122s000603_bin.3.o	ca2
lane122s000603_bin.3.o	cl
lane122s000603_bin.3.o	cobalt2
lane122s000603_bin.3.o	cu2
lane122s000603_bin.3.o	ile__L
lane122s000603_bin.3.o	k
lane122s000603_bin.3.o	lys__L
lane122s000603_bin.3.o	mg2
lane122s000603_bin.3.o	mn2
lane122s000603_bin.3.o	phe__L
lane122s000603_bin.3.o	thr__L
lane122s000603_bin.3.o	tyr__L
lane122s000603_bin.3.o	val__L
lane122s000603_bin.3.o	zn2
lane122s000604_bin.1.o	arg__L
lane122s000604_bin.1.o	ca2
lane122s000604_bin.1.o	cl
lane122s000604_bin.1.o	cobalt2
lane122s000604_bin.1.o	cu2
lane122s000604_bin.1.o	gln__L
lane122s000604_bin.1.o	k
lane122s000604_bin.1.o	mg2
lane122s000604_bin.1.o	mn2
lane122s000604_bin.1.o	phe__L
lane122s000604_bin.1.o	thm
lane122s000604_bin.1.o	val__L
lane122s000604_bin.1.o	zn2
lane122s000604_bin.2.o	ca2
lane122s000604_bin.2.o	cl
lane122s000604_bin.2.o	cobalt2
lane122s000604_bin.2.o	his__L
lane122s000604_bin.2.o	k
lane122s000604_bin.2.o	mg2
lane122s000604_bin.2.o	mn2
lane122s000604_bin.2.o	ribflv
lane122s000604_bin.2.o	val__L
lane122s000604_bin.2.o	zn2
lane122s000605_bin.1.o	arg__L
lane122s000605_bin.1.o	ca2
lane122s000605_bin.1.o	cl
lane122s000605_bin.1.o	cobalt2
lane122s000605_bin.1.o	k
lane122s000605_bin.1.o	lys__L
lane122s000605_bin.1.o	mg2
lane122s000605_bin.1.o	mn2
lane122s000605_bin.1.o	phe__L
lane122s000605_bin.1.o	ribflv
lane122s000605_bin.1.o	zn2
lane122s000605_bin.2.o	ca2
lane122s000605_bin.2.o	cl
lane122s000605_bin.2.o	cobalt2
lane122s000605_bin.2.o	k
lane122s000605_bin.2.o	mg2
lane122s000605_bin.2.o	mn2
lane122s000605_bin.2.o	zn2
lane122s000605_bin.3.p	ca2
lane122s000605_bin.3.p	cl
lane122s000605_bin.3.p	cobalt2
lane122s000605_bin.3.p	cu2
lane122s000605_bin.3.p	k
lane122s000605_bin.3.p	mg2
lane122s000605_bin.3.p	mn2
lane122s000605_bin.3.p	o2
lane122s000605_bin.3.p	phe__L
lane122s000605_bin.3.p	thm
lane122s000605_bin.3.p	tyr__L
lane122s000605_bin.3.p	zn2
lane122s000606_bin.1.o	ca2
lane122s000606_bin.1.o	cl
lane122s000606_bin.1.o	cobalt2
lane122s000606_bin.1.o	cu2
lane122s000606_bin.1.o	k
lane122s000606_bin.1.o	mg2
lane122s000606_bin.1.o	mn2
lane122s000606_bin.1.o	o2
lane122s000606_bin.1.o	val__L
lane122s000606_bin.1.o	zn2
lane122s000606_bin.2.s	ca2
lane122s000606_bin.2.s	cl
lane122s000606_bin.2.s	cobalt2
